# number of destination LPs (sorted by largest messages sent to) to cover percentage of total events
# LP name, total events sent, num of LPs to cover: 75, 80, 90, 95, and 100 percent of the total events sent.
Airport_1875, 9, 3, 3, 3, 3, 3
Airport_1250, 16, 3, 3, 3, 4, 4
Airport_1876, 9, 3, 3, 4, 4, 4
Airport_625, 13, 3, 3, 4, 4, 4
Airport_1251, 8, 2, 2, 3, 3, 3
Airport_1877, 9, 3, 3, 4, 4, 4
Airport_626, 14, 3, 3, 4, 4, 4
Airport_1252, 8, 2, 3, 4, 4, 4
Airport_1878, 14, 3, 4, 4, 4, 4
Airport_627, 14, 3, 3, 4, 4, 4
Airport_1253, 12, 2, 2, 3, 3, 3
Airport_1879, 11, 3, 3, 4, 4, 4
Airport_628, 11, 3, 3, 3, 4, 4
Airport_1880, 11, 2, 2, 3, 4, 4
Airport_1254, 14, 3, 3, 3, 4, 4
Airport_1881, 11, 2, 2, 3, 4, 4
Airport_629, 13, 3, 3, 4, 4, 4
Airport_1255, 15, 3, 3, 4, 4, 4
Airport_1882, 13, 3, 3, 4, 4, 4
Airport_630, 16, 3, 3, 4, 4, 4
Airport_0, 14, 3, 3, 4, 4, 4
Airport_1256, 10, 3, 3, 3, 4, 4
Airport_1883, 8, 3, 3, 4, 4, 4
Airport_631, 8, 2, 3, 3, 3, 3
Airport_1, 12, 3, 3, 3, 4, 4
Airport_1257, 11, 3, 3, 3, 4, 4
Airport_1884, 8, 3, 3, 4, 4, 4
Airport_632, 18, 3, 3, 4, 4, 4
Airport_2, 7, 3, 3, 4, 4, 4
Airport_1258, 14, 3, 4, 4, 4, 4
Airport_1885, 11, 3, 3, 3, 4, 4
Airport_633, 11, 2, 2, 3, 3, 3
Airport_3, 9, 3, 3, 4, 4, 4
Airport_1886, 17, 3, 3, 3, 4, 4
Airport_1259, 18, 2, 3, 4, 4, 4
Airport_634, 9, 3, 3, 3, 3, 3
Airport_4, 14, 3, 3, 3, 3, 3
Airport_1260, 9, 3, 3, 4, 4, 4
Airport_1887, 11, 3, 3, 4, 4, 4
Airport_635, 9, 3, 3, 4, 4, 4
Airport_5, 6, 3, 3, 4, 4, 4
Airport_1261, 7, 3, 3, 4, 4, 4
Airport_1888, 14, 3, 3, 4, 4, 4
Airport_636, 11, 3, 3, 4, 4, 4
Airport_6, 13, 3, 3, 4, 4, 4
Airport_1262, 12, 3, 3, 4, 4, 4
Airport_1889, 10, 3, 3, 3, 4, 4
Airport_637, 9, 3, 3, 4, 4, 4
Airport_7, 15, 3, 3, 4, 4, 4
Airport_1263, 8, 3, 3, 4, 4, 4
Airport_1890, 14, 3, 3, 4, 4, 4
Airport_638, 17, 3, 3, 4, 4, 4
Airport_8, 17, 3, 4, 4, 4, 4
Airport_1264, 13, 2, 3, 3, 4, 4
Airport_1891, 13, 3, 3, 4, 4, 4
Airport_639, 13, 3, 3, 4, 4, 4
Airport_9, 13, 3, 3, 4, 4, 4
Airport_1265, 13, 3, 3, 4, 4, 4
Airport_1892, 14, 2, 3, 3, 4, 4
Airport_640, 9, 2, 3, 3, 3, 3
Airport_10, 13, 3, 3, 3, 4, 4
Airport_1266, 12, 3, 3, 3, 4, 4
Airport_1893, 9, 2, 3, 3, 3, 3
Airport_641, 8, 3, 3, 4, 4, 4
Airport_11, 18, 3, 3, 4, 4, 4
Airport_1267, 9, 3, 3, 4, 4, 4
Airport_1894, 7, 2, 2, 3, 3, 3
Airport_642, 17, 3, 3, 4, 4, 4
Airport_12, 16, 2, 3, 3, 4, 4
Airport_1268, 8, 2, 2, 3, 3, 3
Airport_1895, 15, 3, 3, 4, 4, 4
Airport_643, 17, 3, 3, 4, 4, 4
Airport_13, 11, 3, 3, 4, 4, 4
Airport_1269, 12, 2, 3, 3, 4, 4
Airport_1896, 12, 2, 3, 3, 4, 4
Airport_644, 8, 3, 3, 4, 4, 4
Airport_14, 16, 3, 3, 4, 4, 4
Airport_1897, 12, 3, 3, 3, 4, 4
Airport_645, 15, 3, 3, 4, 4, 4
Airport_15, 16, 3, 3, 4, 4, 4
Airport_1270, 14, 3, 3, 4, 4, 4
Airport_1898, 15, 3, 3, 4, 4, 4
Airport_646, 10, 2, 2, 2, 2, 2
Airport_16, 17, 3, 3, 4, 4, 4
Airport_1899, 10, 3, 3, 4, 4, 4
Airport_1900, 4, 2, 3, 3, 3, 3
Airport_1901, 9, 3, 3, 4, 4, 4
Airport_647, 16, 3, 3, 4, 4, 4
Airport_17, 11, 2, 2, 2, 3, 3
Airport_648, 13, 3, 3, 4, 4, 4
Airport_18, 15, 3, 3, 4, 4, 4
Airport_1902, 10, 3, 3, 3, 4, 4
Airport_19, 17, 3, 3, 4, 4, 4
Airport_1903, 14, 3, 3, 4, 4, 4
Airport_649, 13, 3, 3, 4, 4, 4
Airport_20, 10, 3, 3, 4, 4, 4
Airport_1904, 12, 3, 3, 3, 4, 4
Airport_1271, 10, 2, 2, 3, 3, 3
Airport_650, 12, 3, 3, 4, 4, 4
Airport_21, 13, 3, 3, 3, 3, 3
Airport_1905, 10, 3, 3, 3, 4, 4
Airport_1272, 10, 3, 3, 3, 4, 4
Airport_651, 9, 3, 3, 4, 4, 4
Airport_22, 8, 3, 3, 4, 4, 4
Airport_1906, 17, 3, 3, 4, 4, 4
Airport_1273, 5, 2, 2, 2, 2, 2
Airport_652, 10, 3, 3, 3, 3, 3
Airport_23, 20, 3, 3, 4, 4, 4
Airport_1907, 10, 2, 2, 3, 3, 3
Airport_1274, 18, 3, 3, 4, 4, 4
Airport_653, 12, 2, 3, 3, 4, 4
