# summary of local and remote events executed
# LP, local, remote, total
Airport_216, 40, 9, 49
Airport_2063, 47, 13, 60
Airport_907, 42, 13, 55
Airport_1464, 53, 19, 72
Airport_217, 53, 17, 70
Airport_2064, 48, 12, 60
Airport_908, 52, 15, 67
Airport_218, 46, 14, 60
Airport_1465, 43, 11, 54
Airport_2065, 45, 16, 61
Airport_909, 51, 11, 62
Airport_219, 44, 7, 51
Airport_1466, 43, 12, 55
Airport_2066, 47, 9, 56
Airport_910, 51, 11, 62
Airport_1467, 45, 11, 56
Airport_220, 52, 20, 72
Airport_2067, 48, 9, 57
Airport_911, 50, 11, 61
Airport_1468, 47, 8, 55
Airport_221, 55, 20, 75
Airport_2068, 52, 17, 69
Airport_912, 56, 15, 71
Airport_1469, 51, 11, 62
Airport_222, 50, 13, 63
Airport_2069, 39, 6, 45
Airport_913, 54, 19, 73
Airport_1470, 49, 11, 60
Airport_223, 53, 12, 65
Airport_2070, 52, 13, 65
Airport_914, 51, 11, 62
Airport_2071, 54, 17, 71
Airport_1471, 53, 14, 67
Airport_2072, 50, 12, 62
Airport_224, 57, 19, 76
Airport_2073, 46, 13, 59
Airport_915, 49, 12, 61
Airport_2074, 45, 8, 53
Airport_1472, 45, 13, 58
Airport_2075, 46, 10, 56
Airport_225, 52, 16, 68
Airport_2076, 45, 13, 58
Airport_916, 55, 15, 70
Airport_2077, 53, 13, 66
Airport_917, 43, 13, 56
Airport_2078, 50, 12, 62
Airport_918, 48, 9, 57
Airport_2079, 48, 11, 59
Airport_919, 49, 10, 59
Airport_2080, 52, 15, 67
Airport_920, 46, 13, 59
Airport_2081, 51, 13, 64
Airport_921, 49, 10, 59
Airport_2082, 47, 11, 58
Airport_922, 44, 14, 58
Airport_2083, 50, 11, 61
Airport_923, 47, 8, 55
Airport_2084, 50, 12, 62
Airport_924, 52, 15, 67
Airport_2085, 45, 15, 60
Airport_925, 43, 8, 51
Airport_2086, 49, 5, 54
Airport_926, 51, 14, 65
Airport_2087, 49, 15, 64
Airport_927, 47, 13, 60
Airport_2088, 54, 11, 65
Airport_928, 48, 7, 55
Airport_2089, 48, 16, 64
Airport_929, 50, 16, 66
Airport_2090, 51, 14, 65
Airport_930, 52, 17, 69
Airport_2091, 45, 12, 57
Airport_931, 54, 8, 62
Airport_2092, 52, 16, 68
Airport_932, 51, 15, 66
Airport_2093, 49, 10, 59
Airport_933, 50, 13, 63
Airport_2094, 48, 9, 57
Airport_934, 46, 11, 57
Airport_2095, 44, 9, 53
Airport_935, 49, 15, 64
Airport_2096, 49, 15, 64
Airport_936, 44, 8, 52
Airport_2097, 50, 10, 60
Airport_937, 49, 12, 61
Airport_2098, 45, 10, 55
Airport_938, 51, 11, 62
Airport_2099, 47, 10, 57
Airport_939, 52, 12, 64
Airport_2100, 54, 17, 71
Airport_940, 49, 16, 65
Airport_2101, 49, 17, 66
Airport_2102, 50, 18, 68
Airport_941, 50, 15, 65
Airport_1473, 50, 11, 61
Airport_2103, 53, 10, 63
Airport_942, 46, 9, 55
Airport_226, 48, 12, 60
Airport_943, 54, 13, 67
Airport_1474, 48, 10, 58
Airport_1475, 49, 11, 60
Airport_1476, 52, 18, 70
Airport_944, 54, 12, 66
Airport_2104, 51, 21, 72
Airport_2105, 54, 15, 69
Airport_1477, 58, 17, 75
Airport_945, 48, 9, 57
Airport_946, 51, 11, 62
Airport_947, 47, 13, 60
Airport_948, 46, 15, 61
Airport_1478, 50, 9, 59
Airport_227, 47, 7, 54
Airport_228, 47, 16, 63
Airport_229, 51, 15, 66
Airport_230, 44, 11, 55
Airport_949, 45, 10, 55
Airport_950, 49, 13, 62
Airport_1479, 52, 9, 61
Airport_1480, 53, 15, 68
Airport_1481, 51, 17, 68
Airport_951, 51, 17, 68
Airport_231, 42, 10, 52
Airport_2106, 48, 9, 57
Airport_1482, 50, 6, 56
Airport_232, 51, 5, 56
Airport_952, 55, 15, 70
Airport_2107, 56, 10, 66
Airport_1483, 47, 7, 54
Airport_233, 53, 13, 66
Airport_953, 43, 9, 52
Airport_2108, 53, 16, 69
Airport_1484, 44, 8, 52
Airport_234, 50, 11, 61
Airport_954, 50, 9, 59
Airport_2109, 54, 15, 69
Airport_1485, 51, 9, 60
Airport_235, 45, 10, 55
Airport_955, 47, 6, 53
Airport_2110, 53, 14, 67
Airport_1486, 48, 10, 58
Airport_236, 49, 7, 56
Airport_2111, 45, 9, 54
Airport_956, 53, 13, 66
Airport_1487, 50, 12, 62
Airport_237, 49, 8, 57
Airport_2112, 50, 12, 62
Airport_957, 48, 10, 58
Airport_1488, 48, 9, 57
Airport_238, 47, 11, 58
Airport_2113, 45, 7, 52
Airport_958, 48, 11, 59
Airport_1489, 56, 19, 75
Airport_239, 50, 11, 61
Airport_2114, 46, 13, 59
Airport_959, 53, 9, 62
Airport_1490, 48, 10, 58
Airport_240, 56, 17, 73
Airport_2115, 48, 11, 59
Airport_960, 53, 13, 66
Airport_1491, 52, 18, 70
Airport_241, 46, 13, 59
Airport_2116, 56, 17, 73
Airport_961, 48, 14, 62
Airport_1492, 48, 19, 67
Airport_242, 52, 10, 62
Airport_2117, 54, 18, 72
Airport_962, 52, 14, 66
Airport_1493, 50, 12, 62
Airport_243, 46, 12, 58
Airport_2118, 53, 14, 67
Airport_963, 54, 16, 70
Airport_1494, 53, 12, 65
Airport_244, 48, 12, 60
Airport_2119, 50, 10, 60
Airport_964, 50, 14, 64
Airport_1495, 47, 12, 59
Airport_245, 54, 18, 72
Airport_2120, 53, 17, 70
Airport_965, 50, 12, 62
Airport_1496, 45, 12, 57
Airport_246, 44, 11, 55
Airport_2121, 53, 21, 74
Airport_966, 56, 15, 71
Airport_1497, 48, 10, 58
Airport_247, 46, 6, 52
Airport_2122, 48, 10, 58
Airport_967, 53, 13, 66
Airport_1498, 48, 10, 58
Airport_248, 49, 6, 55
Airport_2123, 55, 9, 64
Airport_968, 46, 4, 50
Airport_1499, 56, 14, 70
Airport_249, 52, 11, 63
Airport_2124, 42, 10, 52
Airport_969, 47, 14, 61
Airport_1500, 49, 11, 60
Airport_250, 52, 9, 61
Airport_2125, 48, 10, 58
Airport_970, 51, 11, 62
Airport_1501, 48, 11, 59
Airport_251, 47, 13, 60
Airport_2126, 50, 12, 62
Airport_971, 47, 7, 54
Airport_1502, 47, 13, 60
Airport_252, 51, 20, 71
Airport_2127, 42, 15, 57
Airport_972, 51, 18, 69
Airport_1503, 48, 10, 58
Airport_253, 50, 11, 61
Airport_2128, 45, 15, 60
Airport_973, 46, 7, 53
Airport_1504, 53, 13, 66
Airport_254, 52, 17, 69
Airport_2129, 51, 11, 62
Airport_974, 48, 11, 59
Airport_1505, 46, 8, 54
Airport_255, 44, 9, 53
Airport_2130, 46, 5, 51
Airport_975, 48, 11, 59
Airport_1506, 44, 12, 56
Airport_256, 48, 11, 59
Airport_2131, 50, 10, 60
Airport_976, 44, 13, 57
Airport_1507, 47, 12, 59
Airport_257, 44, 9, 53
Airport_2132, 50, 12, 62
Airport_977, 47, 7, 54
Airport_1508, 46, 12, 58
Airport_258, 48, 13, 61
Airport_2133, 49, 8, 57
Airport_978, 53, 18, 71
Airport_1509, 50, 18, 68
Airport_259, 42, 6, 48
Airport_979, 46, 12, 58
Airport_2134, 55, 14, 69
Airport_1510, 51, 13, 64
Airport_260, 50, 16, 66
Airport_980, 52, 13, 65
Airport_2135, 49, 15, 64
Airport_1511, 52, 11, 63
Airport_261, 49, 16, 65
Airport_981, 43, 14, 57
Airport_2136, 51, 9, 60
Airport_1512, 50, 16, 66
Airport_262, 57, 19, 76
Airport_982, 56, 16, 72
Airport_2137, 41, 9, 50
Airport_1513, 49, 10, 59
Airport_263, 49, 11, 60
Airport_983, 50, 13, 63
Airport_2138, 44, 9, 53
Airport_1514, 51, 11, 62
Airport_264, 47, 8, 55
Airport_984, 51, 13, 64
Airport_2139, 50, 11, 61
Airport_1515, 44, 8, 52
Airport_265, 51, 14, 65
Airport_985, 51, 13, 64
Airport_2140, 49, 12, 61
Airport_1516, 53, 14, 67
Airport_266, 49, 9, 58
Airport_986, 52, 9, 61
Airport_2141, 48, 9, 57
Airport_1517, 47, 15, 62
Airport_267, 50, 10, 60
Airport_987, 54, 16, 70
Airport_2142, 50, 9, 59
Airport_1518, 47, 6, 53
Airport_268, 44, 9, 53
Airport_988, 47, 15, 62
Airport_2143, 45, 9, 54
Airport_1519, 45, 10, 55
Airport_269, 51, 15, 66
Airport_989, 48, 15, 63
Airport_2144, 54, 11, 65
Airport_1520, 43, 15, 58
Airport_270, 46, 9, 55
Airport_990, 53, 15, 68
Airport_2145, 50, 18, 68
Airport_1521, 59, 21, 80
Airport_271, 49, 16, 65
Airport_991, 50, 14, 64
Airport_2146, 47, 8, 55
Airport_1522, 49, 10, 59
Airport_272, 53, 11, 64
Airport_992, 47, 9, 56
Airport_2147, 53, 21, 74
Airport_1523, 48, 13, 61
Airport_273, 55, 16, 71
Airport_993, 52, 13, 65
Airport_2148, 58, 14, 72
Airport_1524, 48, 7, 55
Airport_274, 49, 14, 63
Airport_994, 50, 11, 61
Airport_2149, 47, 10, 57
Airport_1525, 49, 11, 60
Airport_995, 54, 14, 68
Airport_275, 50, 10, 60
Airport_2150, 46, 9, 55
Airport_1526, 44, 14, 58
Airport_996, 52, 13, 65
Airport_276, 50, 13, 63
Airport_2151, 51, 9, 60
Airport_1527, 50, 10, 60
Airport_997, 47, 12, 59
Airport_277, 50, 12, 62
Airport_2152, 47, 8, 55
Airport_1528, 52, 16, 68
Airport_998, 44, 5, 49
Airport_278, 51, 12, 63
Airport_2153, 48, 15, 63
Airport_1529, 48, 7, 55
Airport_999, 45, 9, 54
Airport_279, 48, 15, 63
Airport_2154, 48, 8, 56
Airport_1530, 49, 10, 59
Airport_1000, 47, 11, 58
Airport_280, 46, 6, 52
Airport_2155, 53, 17, 70
Airport_1531, 46, 8, 54
Airport_1001, 58, 24, 82
Airport_281, 51, 10, 61
Airport_2156, 49, 12, 61
Airport_1532, 45, 9, 54
Airport_1002, 47, 17, 64
Airport_282, 54, 16, 70
Airport_2157, 53, 15, 68
Airport_1533, 49, 15, 64
Airport_1003, 46, 7, 53
Airport_283, 49, 9, 58
Airport_284, 44, 6, 50
Airport_285, 58, 21, 79
Airport_286, 53, 17, 70
Airport_287, 46, 5, 51
Airport_288, 44, 11, 55
Airport_289, 54, 16, 70
Airport_290, 52, 13, 65
Airport_291, 45, 7, 52
Airport_292, 48, 13, 61
Airport_293, 50, 11, 61
Airport_294, 50, 14, 64
Airport_295, 45, 16, 61
Airport_296, 43, 5, 48
Airport_297, 43, 9, 52
Airport_298, 44, 8, 52
Airport_299, 45, 7, 52
Airport_300, 50, 14, 64
Airport_301, 57, 18, 75
Airport_302, 50, 11, 61
Airport_303, 48, 11, 59
Airport_304, 52, 15, 67
Airport_305, 54, 16, 70
Airport_306, 49, 14, 63
Airport_2158, 49, 10, 59
Airport_307, 51, 11, 62
Airport_2159, 50, 9, 59
Airport_308, 53, 15, 68
Airport_2160, 48, 11, 59
Airport_1004, 56, 19, 75
Airport_2161, 52, 9, 61
Airport_1005, 54, 12, 66
Airport_2162, 52, 13, 65
Airport_309, 49, 9, 58
Airport_1006, 49, 17, 66
Airport_310, 48, 10, 58
Airport_2163, 47, 8, 55
Airport_311, 56, 15, 71
Airport_1007, 47, 12, 59
Airport_2164, 50, 11, 61
Airport_312, 50, 8, 58
Airport_2165, 50, 10, 60
Airport_1008, 56, 17, 73
Airport_313, 51, 15, 66
Airport_1534, 51, 14, 65
Airport_2166, 54, 15, 69
Airport_1009, 48, 12, 60
Airport_314, 52, 14, 66
Airport_1535, 47, 18, 65
Airport_2167, 54, 15, 69
Airport_1010, 42, 9, 51
Airport_315, 48, 10, 58
Airport_1536, 48, 12, 60
Airport_1011, 49, 17, 66
Airport_2168, 47, 13, 60
Airport_316, 45, 16, 61
Airport_1537, 45, 6, 51
Airport_1012, 52, 16, 68
Airport_317, 50, 10, 60
Airport_2169, 43, 16, 59
Airport_1538, 50, 12, 62
Airport_1013, 51, 9, 60
Airport_318, 42, 10, 52
Airport_2170, 45, 6, 51
Airport_1539, 46, 15, 61
Airport_319, 50, 14, 64
Airport_1014, 56, 16, 72
Airport_2171, 48, 11, 59
Airport_1540, 54, 15, 69
Airport_320, 54, 18, 72
Airport_2172, 47, 13, 60
Airport_1015, 45, 13, 58
Airport_1541, 51, 14, 65
Airport_321, 50, 10, 60
Airport_2173, 51, 15, 66
Airport_1016, 49, 13, 62
Airport_1542, 44, 8, 52
Airport_322, 54, 15, 69
Airport_2174, 48, 11, 59
Airport_1543, 48, 12, 60
Airport_2175, 52, 13, 65
Airport_323, 51, 11, 62
Airport_1544, 43, 8, 51
Airport_2176, 46, 13, 59
Airport_324, 42, 4, 46
Airport_1017, 48, 8, 56
Airport_1545, 47, 14, 61
Airport_2177, 50, 9, 59
Airport_325, 47, 12, 59
Airport_1018, 46, 12, 58
Airport_1546, 46, 10, 56
Airport_2178, 43, 6, 49
Airport_326, 52, 10, 62
Airport_1547, 52, 14, 66
Airport_1019, 57, 15, 72
Airport_2179, 48, 11, 59
Airport_327, 53, 17, 70
Airport_1548, 42, 11, 53
Airport_1020, 54, 13, 67
Airport_2180, 47, 11, 58
Airport_328, 55, 15, 70
Airport_1549, 53, 17, 70
Airport_1021, 57, 17, 74
Airport_2181, 45, 9, 54
Airport_329, 47, 12, 59
Airport_1550, 45, 12, 57
Airport_1022, 47, 14, 61
Airport_2182, 46, 10, 56
Airport_330, 49, 11, 60
Airport_1551, 48, 10, 58
Airport_1023, 52, 19, 71
Airport_2183, 46, 10, 56
Airport_331, 48, 15, 63
Airport_1552, 47, 11, 58
Airport_1024, 47, 11, 58
Airport_2184, 47, 11, 58
Airport_332, 50, 16, 66
Airport_1553, 44, 15, 59
Airport_1025, 51, 13, 64
Airport_2185, 54, 18, 72
Airport_333, 48, 14, 62
Airport_1554, 44, 10, 54
Airport_1026, 50, 15, 65
Airport_2186, 44, 14, 58
Airport_334, 52, 12, 64
Airport_335, 49, 19, 68
Airport_336, 49, 15, 64
Airport_337, 47, 13, 60
Airport_338, 49, 11, 60
Airport_339, 53, 14, 67
Airport_340, 52, 12, 64
Airport_341, 48, 12, 60
Airport_342, 45, 12, 57
Airport_343, 55, 14, 69
Airport_344, 47, 11, 58
Airport_345, 47, 13, 60
Airport_346, 46, 8, 54
Airport_347, 48, 8, 56
Airport_348, 50, 11, 61
Airport_349, 46, 15, 61
Airport_350, 49, 11, 60
Airport_351, 46, 9, 55
Airport_352, 52, 12, 64
Airport_353, 45, 10, 55
Airport_354, 48, 12, 60
Airport_355, 49, 7, 56
Airport_356, 48, 12, 60
Airport_357, 49, 16, 65
Airport_358, 51, 9, 60
Airport_359, 51, 13, 64
Airport_360, 48, 12, 60
Airport_361, 50, 14, 64
Airport_362, 49, 12, 61
Airport_363, 51, 10, 61
Airport_364, 50, 10, 60
Airport_365, 51, 18, 69
Airport_366, 48, 16, 64
Airport_367, 50, 10, 60
Airport_368, 47, 11, 58
Airport_369, 51, 15, 66
Airport_370, 47, 13, 60
Airport_371, 57, 22, 79
Airport_372, 46, 14, 60
Airport_373, 47, 10, 57
Airport_1555, 48, 15, 63
Airport_1027, 51, 10, 61
Airport_374, 42, 11, 53
Airport_1556, 48, 6, 54
Airport_1028, 56, 19, 75
Airport_375, 48, 13, 61
Airport_1557, 47, 13, 60
Airport_1029, 47, 10, 57
Airport_376, 53, 11, 64
Airport_1030, 50, 13, 63
Airport_1558, 47, 12, 59
Airport_377, 52, 15, 67
Airport_1559, 48, 12, 60
Airport_1031, 47, 13, 60
Airport_378, 46, 13, 59
Airport_1032, 49, 9, 58
Airport_1560, 55, 13, 68
Airport_379, 43, 13, 56
Airport_1561, 50, 13, 63
Airport_1033, 45, 11, 56
Airport_2187, 49, 11, 60
Airport_1562, 55, 13, 68
Airport_380, 52, 13, 65
Airport_1034, 48, 12, 60
Airport_2188, 47, 7, 54
Airport_1563, 46, 4, 50
Airport_381, 51, 10, 61
Airport_1035, 52, 17, 69
Airport_2189, 50, 16, 66
Airport_1564, 55, 13, 68
Airport_382, 49, 13, 62
Airport_1036, 44, 10, 54
Airport_2190, 46, 15, 61
Airport_1565, 52, 16, 68
Airport_383, 50, 17, 67
Airport_1037, 52, 11, 63
Airport_2191, 57, 19, 76
Airport_384, 55, 16, 71
Airport_1566, 55, 15, 70
Airport_1038, 41, 14, 55
Airport_2192, 52, 10, 62
Airport_385, 42, 8, 50
Airport_1567, 45, 15, 60
Airport_1039, 46, 5, 51
Airport_2193, 51, 18, 69
Airport_386, 52, 14, 66
Airport_1568, 51, 13, 64
Airport_1040, 49, 13, 62
Airport_2194, 49, 13, 62
Airport_387, 45, 7, 52
Airport_1569, 53, 11, 64
Airport_1041, 49, 15, 64
Airport_2195, 48, 12, 60
Airport_388, 51, 12, 63
Airport_1570, 47, 10, 57
Airport_1042, 48, 12, 60
Airport_2196, 49, 16, 65
Airport_389, 49, 8, 57
Airport_1571, 48, 13, 61
Airport_1043, 47, 8, 55
Airport_2197, 47, 11, 58
Airport_390, 49, 14, 63
Airport_1572, 50, 12, 62
Airport_1044, 54, 12, 66
Airport_2198, 51, 14, 65
Airport_391, 51, 13, 64
Airport_1573, 52, 12, 64
Airport_1045, 55, 17, 72
Airport_2199, 51, 16, 67
Airport_392, 49, 11, 60
Airport_1574, 45, 4, 49
Airport_1046, 49, 7, 56
Airport_2200, 43, 16, 59
Airport_393, 54, 14, 68
Airport_1575, 44, 5, 49
Airport_1047, 51, 18, 69
Airport_2201, 51, 13, 64
Airport_394, 50, 8, 58
Airport_1576, 48, 12, 60
Airport_1048, 54, 12, 66
Airport_2202, 44, 15, 59
Airport_395, 48, 14, 62
Airport_1577, 50, 13, 63
Airport_1049, 56, 15, 71
Airport_2203, 52, 10, 62
Airport_396, 48, 10, 58
Airport_1578, 44, 11, 55
Airport_1050, 51, 12, 63
Airport_2204, 44, 11, 55
Airport_1579, 43, 9, 52
Airport_397, 52, 15, 67
Airport_1051, 50, 13, 63
Airport_2205, 45, 13, 58
Airport_2206, 47, 8, 55
Airport_398, 51, 16, 67
Airport_1580, 49, 10, 59
Airport_399, 50, 13, 63
Airport_2207, 55, 17, 72
Airport_1052, 54, 17, 71
Airport_1053, 48, 6, 54
Airport_1581, 47, 6, 53
Airport_2208, 49, 13, 62
Airport_1054, 52, 16, 68
Airport_400, 50, 10, 60
Airport_2209, 50, 14, 64
Airport_1582, 49, 14, 63
Airport_1583, 48, 11, 59
Airport_1584, 50, 10, 60
Airport_1055, 45, 4, 49
Airport_1056, 43, 8, 51
Airport_2210, 48, 14, 62
Airport_1057, 45, 12, 57
Airport_1585, 48, 16, 64
Airport_401, 53, 14, 67
Airport_2211, 49, 14, 63
Airport_1058, 49, 10, 59
Airport_1586, 53, 17, 70
Airport_402, 46, 13, 59
Airport_2212, 51, 19, 70
Airport_1059, 45, 11, 56
Airport_1587, 50, 12, 62
Airport_403, 51, 13, 64
Airport_2213, 52, 15, 67
Airport_1060, 52, 13, 65
Airport_1588, 54, 13, 67
Airport_404, 47, 13, 60
Airport_2214, 47, 6, 53
Airport_1061, 56, 15, 71
Airport_1589, 48, 13, 61
Airport_405, 45, 11, 56
Airport_2215, 48, 16, 64
Airport_1062, 52, 15, 67
Airport_1590, 47, 15, 62
Airport_406, 48, 10, 58
Airport_2216, 54, 14, 68
Airport_1063, 55, 14, 69
Airport_1591, 50, 17, 67
Airport_407, 51, 8, 59
Airport_2217, 50, 19, 69
Airport_1064, 51, 18, 69
Airport_1592, 57, 17, 74
Airport_408, 45, 19, 64
Airport_2218, 49, 8, 57
Airport_1065, 55, 14, 69
Airport_1066, 55, 17, 72
Airport_1067, 50, 14, 64
Airport_1068, 49, 13, 62
Airport_1069, 43, 7, 50
Airport_1070, 57, 17, 74
Airport_1071, 53, 14, 67
Airport_1072, 49, 17, 66
Airport_1073, 51, 20, 71
Airport_1074, 52, 12, 64
Airport_1075, 52, 14, 66
Airport_1076, 44, 14, 58
Airport_1077, 49, 11, 60
Airport_1078, 43, 13, 56
Airport_1079, 52, 16, 68
Airport_1080, 42, 10, 52
Airport_1081, 47, 12, 59
Airport_1082, 54, 15, 69
Airport_1083, 52, 18, 70
Airport_1084, 50, 14, 64
Airport_1085, 48, 14, 62
Airport_1086, 48, 9, 57
Airport_1087, 48, 10, 58
Airport_1088, 46, 11, 57
Airport_1089, 52, 14, 66
Airport_1090, 48, 14, 62
Airport_1091, 40, 10, 50
Airport_1092, 47, 11, 58
Airport_1093, 45, 17, 62
Airport_1094, 51, 14, 65
Airport_1095, 53, 21, 74
Airport_1096, 49, 13, 62
Airport_1097, 48, 9, 57
Airport_1098, 51, 23, 74
Airport_1099, 51, 13, 64
Airport_1100, 47, 12, 59
Airport_1101, 45, 6, 51
Airport_1102, 50, 12, 62
Airport_1103, 45, 5, 50
Airport_1104, 49, 9, 58
Airport_1105, 50, 17, 67
Airport_1106, 56, 12, 68
Airport_1107, 45, 9, 54
Airport_1108, 49, 10, 59
Airport_1109, 55, 13, 68
Airport_1110, 52, 11, 63
Airport_1111, 51, 20, 71
Airport_409, 50, 12, 62
Airport_1593, 48, 15, 63
Airport_410, 49, 12, 61
Airport_1112, 50, 11, 61
Airport_1594, 54, 11, 65
Airport_411, 47, 16, 63
Airport_1113, 52, 19, 71
Airport_1595, 48, 8, 56
Airport_412, 47, 11, 58
Airport_1114, 43, 13, 56
Airport_1596, 47, 14, 61
Airport_413, 53, 12, 65
Airport_1115, 46, 11, 57
Airport_1597, 46, 11, 57
Airport_2219, 47, 14, 61
Airport_414, 43, 9, 52
Airport_1116, 53, 14, 67
Airport_1598, 46, 9, 55
Airport_2220, 53, 9, 62
Airport_415, 54, 17, 71
Airport_1117, 55, 30, 85
Airport_1599, 51, 14, 65
Airport_2221, 49, 9, 58
Airport_416, 52, 10, 62
Airport_1118, 47, 13, 60
Airport_1600, 55, 17, 72
Airport_2222, 46, 9, 55
Airport_417, 44, 7, 51
Airport_1119, 51, 12, 63
Airport_1601, 49, 14, 63
Airport_2223, 52, 14, 66
Airport_418, 46, 7, 53
Airport_1120, 56, 17, 73
Airport_1602, 55, 14, 69
Airport_419, 43, 9, 52
Airport_2224, 48, 14, 62
Airport_1121, 50, 11, 61
Airport_1603, 49, 12, 61
Airport_420, 52, 12, 64
Airport_2225, 49, 14, 63
Airport_1122, 53, 16, 69
Airport_1604, 51, 10, 61
Airport_421, 49, 15, 64
Airport_1123, 49, 12, 61
Airport_2226, 46, 9, 55
Airport_1605, 57, 10, 67
Airport_422, 49, 12, 61
Airport_1124, 46, 12, 58
Airport_2227, 49, 14, 63
Airport_1606, 50, 10, 60
Airport_423, 50, 13, 63
Airport_1125, 49, 15, 64
Airport_2228, 46, 13, 59
Airport_1607, 54, 15, 69
Airport_424, 48, 8, 56
Airport_1126, 45, 7, 52
Airport_2229, 47, 15, 62
Airport_1608, 48, 9, 57
Airport_425, 49, 10, 59
Airport_1127, 49, 18, 67
Airport_2230, 46, 6, 52
Airport_1609, 51, 13, 64
Airport_426, 48, 11, 59
Airport_1128, 50, 17, 67
Airport_2231, 52, 12, 64
Airport_1610, 49, 10, 59
Airport_427, 45, 14, 59
Airport_1129, 49, 10, 59
Airport_2232, 52, 7, 59
Airport_1611, 44, 12, 56
Airport_428, 51, 8, 59
Airport_1130, 49, 10, 59
Airport_2233, 50, 14, 64
Airport_1612, 48, 13, 61
Airport_429, 49, 16, 65
Airport_1131, 51, 12, 63
Airport_2234, 49, 11, 60
Airport_1613, 48, 7, 55
Airport_430, 50, 13, 63
Airport_1132, 53, 16, 69
Airport_2235, 51, 17, 68
Airport_1614, 47, 10, 57
Airport_431, 50, 15, 65
Airport_1133, 51, 14, 65
Airport_2236, 46, 11, 57
Airport_1615, 47, 14, 61
Airport_432, 51, 13, 64
Airport_1134, 51, 10, 61
Airport_2237, 42, 9, 51
Airport_1616, 49, 10, 59
Airport_433, 44, 8, 52
Airport_1135, 50, 17, 67
Airport_2238, 48, 10, 58
Airport_1617, 47, 13, 60
Airport_434, 56, 18, 74
Airport_1136, 46, 12, 58
Airport_2239, 49, 16, 65
Airport_1618, 48, 9, 57
Airport_2240, 46, 6, 52
Airport_435, 52, 10, 62
Airport_2241, 51, 16, 67
Airport_436, 52, 10, 62
Airport_2242, 50, 14, 64
Airport_437, 50, 12, 62
Airport_2243, 51, 12, 63
Airport_438, 49, 14, 63
Airport_2244, 46, 10, 56
Airport_439, 54, 17, 71
Airport_2245, 53, 14, 67
Airport_440, 46, 11, 57
Airport_2246, 48, 14, 62
Airport_441, 51, 13, 64
Airport_2247, 45, 10, 55
Airport_442, 42, 8, 50
Airport_2248, 49, 7, 56
Airport_443, 50, 12, 62
Airport_2249, 50, 13, 63
Airport_444, 52, 9, 61
Airport_2250, 44, 8, 52
Airport_445, 53, 14, 67
Airport_2251, 51, 14, 65
Airport_446, 47, 12, 59
Airport_2252, 49, 11, 60
Airport_447, 51, 13, 64
Airport_2253, 49, 11, 60
Airport_448, 47, 11, 58
Airport_2254, 45, 13, 58
Airport_449, 52, 11, 63
Airport_2255, 53, 14, 67
Airport_450, 53, 12, 65
Airport_2256, 50, 13, 63
Airport_451, 48, 8, 56
Airport_2257, 50, 14, 64
Airport_452, 48, 17, 65
Airport_2258, 44, 12, 56
Airport_453, 47, 10, 57
Airport_2259, 48, 9, 57
Airport_454, 52, 17, 69
Airport_2260, 52, 14, 66
Airport_1619, 50, 17, 67
Airport_1137, 56, 20, 76
Airport_1138, 52, 17, 69
Airport_2261, 50, 15, 65
Airport_1620, 50, 11, 61
Airport_455, 53, 12, 65
Airport_1139, 55, 14, 69
Airport_2262, 46, 7, 53
Airport_1621, 46, 10, 56
Airport_456, 53, 20, 73
Airport_1140, 52, 14, 66
Airport_2263, 54, 16, 70
Airport_1622, 45, 14, 59
Airport_457, 50, 13, 63
Airport_1141, 48, 8, 56
Airport_2264, 44, 8, 52
Airport_1623, 50, 12, 62
Airport_458, 49, 10, 59
Airport_1142, 51, 8, 59
Airport_2265, 55, 14, 69
Airport_1624, 51, 11, 62
Airport_459, 53, 14, 67
Airport_1143, 55, 12, 67
Airport_2266, 46, 8, 54
Airport_1625, 52, 9, 61
Airport_460, 47, 16, 63
Airport_1144, 49, 8, 57
Airport_2267, 54, 18, 72
Airport_461, 43, 12, 55
Airport_1626, 48, 14, 62
Airport_1145, 53, 15, 68
Airport_2268, 52, 9, 61
Airport_462, 42, 7, 49
Airport_1627, 51, 15, 66
Airport_1146, 50, 11, 61
Airport_2269, 50, 13, 63
Airport_463, 46, 13, 59
Airport_1628, 54, 17, 71
Airport_1147, 51, 11, 62
Airport_2270, 51, 18, 69
Airport_464, 52, 13, 65
Airport_1629, 51, 11, 62
Airport_1148, 51, 15, 66
Airport_2271, 51, 11, 62
Airport_465, 56, 16, 72
Airport_1630, 43, 13, 56
Airport_1149, 46, 10, 56
Airport_2272, 49, 13, 62
Airport_466, 51, 12, 63
Airport_1631, 56, 20, 76
Airport_1150, 53, 19, 72
Airport_2273, 48, 15, 63
Airport_467, 52, 13, 65
Airport_1632, 49, 13, 62
Airport_1151, 50, 9, 59
Airport_2274, 52, 12, 64
Airport_468, 49, 11, 60
Airport_1633, 48, 11, 59
Airport_1634, 47, 14, 61
Airport_1635, 44, 11, 55
Airport_1636, 47, 10, 57
Airport_1637, 54, 17, 71
Airport_1638, 49, 5, 54
Airport_1639, 46, 12, 58
Airport_1640, 48, 11, 59
Airport_1641, 50, 10, 60
Airport_1642, 49, 10, 59
Airport_1643, 50, 11, 61
Airport_1644, 51, 13, 64
Airport_1645, 47, 13, 60
Airport_1646, 55, 13, 68
Airport_1647, 50, 10, 60
Airport_1152, 48, 12, 60
