# summary of local and remote events executed
# LP, local, remote, total
Airport_676, 47, 20, 67
Airport_1931, 46, 8, 54
Airport_48, 46, 10, 56
Airport_1299, 50, 12, 62
Airport_677, 49, 15, 64
Airport_1932, 51, 12, 63
Airport_49, 50, 13, 63
Airport_1300, 46, 14, 60
Airport_678, 50, 12, 62
Airport_1933, 49, 8, 57
Airport_50, 53, 16, 69
Airport_1301, 49, 9, 58
Airport_679, 53, 17, 70
Airport_1934, 49, 11, 60
Airport_51, 51, 11, 62
Airport_1302, 49, 19, 68
Airport_680, 51, 12, 63
Airport_1935, 42, 12, 54
Airport_52, 49, 10, 59
Airport_1303, 57, 19, 76
Airport_681, 50, 12, 62
Airport_1936, 47, 14, 61
Airport_53, 50, 16, 66
Airport_1304, 50, 18, 68
Airport_682, 45, 9, 54
Airport_1937, 54, 14, 68
Airport_54, 46, 9, 55
Airport_1305, 52, 10, 62
Airport_683, 54, 16, 70
Airport_1938, 43, 10, 53
Airport_55, 43, 17, 60
Airport_1306, 46, 12, 58
Airport_684, 55, 13, 68
Airport_1939, 48, 13, 61
Airport_56, 58, 18, 76
Airport_1307, 50, 8, 58
Airport_685, 48, 9, 57
Airport_1940, 53, 11, 64
Airport_57, 48, 8, 56
Airport_1308, 52, 11, 63
Airport_686, 49, 12, 61
Airport_1941, 50, 9, 59
Airport_58, 47, 12, 59
Airport_687, 47, 11, 58
Airport_1309, 51, 17, 68
Airport_1942, 50, 25, 75
Airport_59, 45, 11, 56
Airport_688, 54, 17, 71
Airport_1310, 45, 17, 62
Airport_1943, 51, 15, 66
Airport_60, 47, 12, 59
Airport_689, 51, 12, 63
Airport_1311, 48, 12, 60
Airport_1944, 54, 11, 65
Airport_61, 49, 16, 65
Airport_690, 52, 16, 68
Airport_1312, 42, 9, 51
Airport_1945, 47, 16, 63
Airport_62, 51, 12, 63
Airport_691, 48, 13, 61
Airport_1313, 52, 17, 69
Airport_1946, 53, 20, 73
Airport_63, 47, 10, 57
Airport_692, 50, 15, 65
Airport_1314, 54, 13, 67
Airport_1947, 53, 12, 65
Airport_64, 52, 16, 68
Airport_693, 45, 9, 54
Airport_1315, 49, 17, 66
Airport_1948, 52, 14, 66
Airport_65, 48, 11, 59
Airport_694, 44, 15, 59
Airport_1316, 51, 11, 62
Airport_1949, 54, 14, 68
Airport_695, 48, 12, 60
Airport_66, 46, 9, 55
Airport_1317, 50, 9, 59
Airport_1950, 45, 8, 53
Airport_696, 52, 10, 62
Airport_67, 50, 10, 60
Airport_1318, 49, 10, 59
Airport_1951, 52, 9, 61
Airport_697, 56, 15, 71
Airport_68, 51, 11, 62
Airport_1319, 44, 16, 60
Airport_1952, 48, 14, 62
Airport_698, 50, 13, 63
Airport_69, 53, 12, 65
Airport_1320, 50, 15, 65
Airport_1953, 53, 15, 68
Airport_699, 48, 3, 51
Airport_70, 50, 16, 66
Airport_1321, 51, 5, 56
Airport_1954, 45, 11, 56
Airport_700, 54, 14, 68
Airport_71, 48, 12, 60
Airport_1322, 48, 16, 64
Airport_1955, 47, 11, 58
Airport_701, 44, 7, 51
Airport_72, 50, 17, 67
Airport_1323, 48, 9, 57
Airport_1956, 50, 14, 64
Airport_702, 48, 11, 59
Airport_73, 43, 10, 53
Airport_1324, 48, 14, 62
Airport_1957, 46, 10, 56
Airport_703, 49, 12, 61
Airport_74, 52, 12, 64
Airport_1325, 45, 11, 56
Airport_1958, 53, 15, 68
Airport_704, 49, 16, 65
Airport_75, 48, 9, 57
Airport_1326, 54, 16, 70
Airport_1959, 47, 11, 58
Airport_705, 47, 15, 62
Airport_76, 55, 14, 69
Airport_1327, 47, 11, 58
Airport_1960, 50, 11, 61
Airport_706, 47, 11, 58
Airport_77, 52, 16, 68
Airport_1328, 55, 15, 70
Airport_1961, 51, 10, 61
Airport_707, 49, 11, 60
Airport_78, 52, 14, 66
Airport_1329, 42, 6, 48
Airport_1962, 47, 12, 59
Airport_708, 50, 17, 67
Airport_79, 52, 15, 67
Airport_1330, 44, 13, 57
Airport_1963, 50, 12, 62
Airport_709, 50, 11, 61
Airport_80, 47, 5, 52
Airport_1331, 48, 5, 53
Airport_1964, 49, 12, 61
Airport_710, 53, 11, 64
Airport_81, 46, 10, 56
Airport_1332, 47, 9, 56
Airport_1965, 44, 7, 51
Airport_711, 55, 14, 69
