# Record of the timestamp deltas (receiveTime[LP_i+1] - receiveTime[LP_i]) of events in each LP
# receiving LP, number of events processed in unique timesteps, min time delta, max time delta, mean time delta (of all but initial events), variance of mean, num times events share a timestamp, num of sampling windows, length of time interval sampled, [,num of sampling windows] events falling in said window
Airport_0, 53, 1, 6, 1.903846153846154, 1.3176775147928994, 14,10, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
Airport_1, 49, 1, 9, 2.020833333333333, 2.520399305555556, 13,10, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
Airport_2, 42, 1, 10, 2.414634146341464, 3.6085663295657358, 12,10, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
Airport_3, 40, 1, 9, 2.512820512820513, 3.8395792241946096, 15,10, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
Airport_4, 48, 1, 8, 2.063829787234043, 2.4852874603893165, 18,10, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
Airport_5, 49, 1, 15, 2.0000000000000004, 4.416666666666666, 9,10, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
Airport_6, 51, 1, 7, 1.9200000000000002, 1.7535999999999998, 14,10, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
Airport_7, 48, 1, 6, 1.872340425531915, 1.5581711181530102, 16,10, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
Airport_8, 57, 1, 5, 1.767857142857143, 1.0353954081632653, 16,10, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
Airport_9, 47, 1, 7, 2.08695652173913, 1.9489603024574667, 15,10, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
Airport_10, 46, 1, 6, 2.2000000000000006, 2.0266666666666664, 18,10, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
Airport_11, 56, 1, 5, 1.6727272727272722, 1.0928925619834713, 18,10, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
Airport_12, 41, 1, 7, 2.4250000000000007, 2.5443750000000005, 22,10, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
Airport_13, 42, 1, 7, 2.3658536585365857, 2.914931588340273, 14,10, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
Airport_14, 54, 1, 8, 1.867924528301887, 2.001423994304023, 19,10, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
Airport_15, 48, 1, 10, 2.0851063829787235, 3.226799456767768, 12,10, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
